artist_name,spotify_id,genres,popularity_score,followers_count,spotify_profile_url,image_url
Yesterday - A Tribute To The Beatles,3phlDwQqaOpk3HIyorxYV6,tribute,2,582,https://open.spotify.com/artist/3phlDwQqaOpk3HIyorxYV6,https://i.scdn.co/image/ab67616d0000b273e5689d06143cc1508566b200
Tampere Beatles Happening,6NdzkEbw8xW3twLXD5PU5Z,,0,15,https://open.spotify.com/artist/6NdzkEbw8xW3twLXD5PU5Z,https://i.scdn.co/image/ab67616d0000b273d78bfbafb0da66c4f20f9a28
Beatles Party Band,1BWV5dQFtQMBpQKeKe4Fh8,tribute,1,95,https://open.spotify.com/artist/1BWV5dQFtQMBpQKeKe4Fh8,https://i.scdn.co/image/ab67616d0000b273707e4e55cd7c7d7a63921e3e
Help a Beatles Tribute,2qhb7Q7GQX7lLTzkyhaRb3,,0,46,https://open.spotify.com/artist/2qhb7Q7GQX7lLTzkyhaRb3,
Beatles Rumba Band,2XSs7LCF5JgDQpdGyQAinx,tribute,1,384,https://open.spotify.com/artist/2XSs7LCF5JgDQpdGyQAinx,https://i.scdn.co/image/ab67616d0000b2735208b27385e0980f3f5fcbce
The Beatles Recoverd Band,54Br03dzreXxpb0AwG2A8h,,3,355,https://open.spotify.com/artist/54Br03dzreXxpb0AwG2A8h,
The Beatlestherapy,3AXqjdGAXIJw6rLADkhNu1,tribute,0,38,https://open.spotify.com/artist/3AXqjdGAXIJw6rLADkhNu1,https://i.scdn.co/image/ab67616d0000b273d19bf5a90bfbee204cf1a20b
New Beatles Brasil,6brmXPHn3HWIwtwzpfgO5U,,0,2,https://open.spotify.com/artist/6brmXPHn3HWIwtwzpfgO5U,
Joey Curatolo of Rain: A Tribute To the Beatles on Broadway,1DKvlSxKEDJvj7JuerSzs3,,0,36,https://open.spotify.com/artist/1DKvlSxKEDJvj7JuerSzs3,
Beatles Hits Acoustic,2oWrb8s032c1LVfjbG1Wfx,,0,116,https://open.spotify.com/artist/2oWrb8s032c1LVfjbG1Wfx,https://i.scdn.co/image/ab67616d0000b2738ee2acabe06f17044b4f724d
Joey Curatolo of Rain: A Tribute To the Beatles on Broadway,1DKvlSxKEDJvj7JuerSzs3,,0,36,https://open.spotify.com/artist/1DKvlSxKEDJvj7JuerSzs3,
The Sounds Of The Beatles,5dSnzjbeHx0D1w0zKa9oUl,,1,350,https://open.spotify.com/artist/5dSnzjbeHx0D1w0zKa9oUl,https://i.scdn.co/image/ab67616d0000b273b3f90c9a99dd71702138a244
The Blue Beatles Karaoke All Stars,6TXlRfsGXLHGF5udRQbGVX,,0,58,https://open.spotify.com/artist/6TXlRfsGXLHGF5udRQbGVX,https://i.scdn.co/image/ab67616d0000b2739e7906c2667024e264361979
TNG Beatless,65Gkr5yAXkKaPoYDSehGqi,,0,24,https://open.spotify.com/artist/65Gkr5yAXkKaPoYDSehGqi,https://i.scdn.co/image/ab67616d0000b273d70d93fcccd8d7fe3418c8bd
The Black Beatles,2TI403CaRm5C8Ud6hsELcW,,0,7139,https://open.spotify.com/artist/2TI403CaRm5C8Ud6hsELcW,https://i.scdn.co/image/ab67616d0000b273de162923bf09a8d2609f4751
New Beatles Brasil,6brmXPHn3HWIwtwzpfgO5U,,0,2,https://open.spotify.com/artist/6brmXPHn3HWIwtwzpfgO5U,
Beatles Party Band,1BWV5dQFtQMBpQKeKe4Fh8,tribute,1,95,https://open.spotify.com/artist/1BWV5dQFtQMBpQKeKe4Fh8,https://i.scdn.co/image/ab67616d0000b273707e4e55cd7c7d7a63921e3e
The Beatles - Covers On Piano,7604fdmfb76FUqmqobWM4Z,,0,4,https://open.spotify.com/artist/7604fdmfb76FUqmqobWM4Z,https://i.scdn.co/image/ab67616d0000b273b4a44a044af34351265c7a57
The Beatles - Piano Instrumentals,0mT4n79LmygTCWxdtQTA9b,,1,0,https://open.spotify.com/artist/0mT4n79LmygTCWxdtQTA9b,
Vaghi Beatles Tribute Band,4pv8UjEeY8FhK1spYRzdxS,,0,28,https://open.spotify.com/artist/4pv8UjEeY8FhK1spYRzdxS,https://i.scdn.co/image/ab67616d0000b2736000ee4dd82d7f5f6b0a90ae
The Beatles live tribute band,6zXkGDVKziz3FPEzk6D4YZ,,0,17,https://open.spotify.com/artist/6zXkGDVKziz3FPEzk6D4YZ,https://i.scdn.co/image/ab67616d0000b27393c3aa42c744b9dcdebf09ce
The Beatles Covers,6nOpMlPnfHCGEknaWAHxsR,,0,0,https://open.spotify.com/artist/6nOpMlPnfHCGEknaWAHxsR,https://i.scdn.co/image/ab67616d0000b273ebc962818fbdc758e9010f5e
The Beatles Recoverd Band,54Br03dzreXxpb0AwG2A8h,,3,355,https://open.spotify.com/artist/54Br03dzreXxpb0AwG2A8h,
Sex Beatles,12o5m4KfZGMUFC2O2E8SdP,,0,266,https://open.spotify.com/artist/12o5m4KfZGMUFC2O2E8SdP,https://i.scdn.co/image/ab67616d0000b2733b49fc56a2c0378b44ec7d28
Rock Guitar Beatles Tribute,3CVDaw7y8Fr49MBo2nRRSC,,0,59,https://open.spotify.com/artist/3CVDaw7y8Fr49MBo2nRRSC,https://i.scdn.co/image/ab67616d0000b273f95e61844285e9800e835161
The Beat-less,2pdRnBwM6YFbfrN9ZB4X60,,1,68,https://open.spotify.com/artist/2pdRnBwM6YFbfrN9ZB4X60,https://i.scdn.co/image/ab67616d0000b273db820805e5b8546057999431
